Agency	Description	Uploaded on	Link	Value
COMMODITY FUTURES TRADING COMMISSION	RENEW WEST PRINT SUBSCRIPTI...	2/11/2025		$21,382
COMMODITY FUTURES TRADING COMMISSION	ANNUAL SUBSCRIPTION TO POLI...	2/13/2025		$255,863
CONSUMER FINANCIAL PROTECTION BUREAU	BLOOMBERG TERMINALS	2/11/2025		$178,350
CONSUMER FINANCIAL PROTECTION BUREAU	BLOOMBERG GOVERNMENT SUBSCR...	2/11/2025		$850,353
CONSUMER FINANCIAL PROTECTION BUREAU	POLITICO PRO	2/11/2025		$635,375
CONSUMER FINANCIAL PROTECTION BUREAU	WASHINGTON POST SUBSCRIPTION	2/11/2025		$127,398
CONSUMER FINANCIAL PROTECTION BUREAU	WALL STREET JOURNAL SBSCRIP...	2/11/2025		$216,665
CONSUMER FINANCIAL PROTECTION BUREAU	PROCURE CQ ROLL CALL SUBSCR...	2/11/2025		$245,616
CONSUMER FINANCIAL PROTECTION BUREAU	SEE FPDS	2/11/2025		SEE FPDS
CONSUMER FINANCIAL PROTECTION BUREAU	OMWI TRAINING SUPPORT - DE...	1/29/2025		$9,999,999
CONSUMER FINANCIAL PROTECTION BUREAU	OMWI TRAINING SUPPORT - PSY...	1/29/2025		$9,999,999
COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY	SEE FPDS	2/11/2025		SEE FPDS
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/22/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	TO SUPPORT THE IMPLEMENTATI...	1/22/2025		$2,035,756
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/22/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/22/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	SNAP DIVERSITY, EQUITY, INC...	1/28/2025		$414,892
DEPARTMENT OF AGRICULTURE	THE OBJECTIVE OF THIS BLANK...	1/30/2025		$7,500,000
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	1/30/2025		$25,000,000
DEPARTMENT OF AGRICULTURE	IP VALUES AND DEIAR COURSE ...	1/31/2025		$293,632
DEPARTMENT OF AGRICULTURE	WEPO EQUITY/ENVIRONMENTAL J...	1/31/2025		$149,921
DEPARTMENT OF AGRICULTURE	USDA COMMUNICATIONS CAMPAIG...	2/4/2025		$984,931
DEPARTMENT OF AGRICULTURE	LAC GENDER EQUITY FACILITATOR	2/6/2025		$31,940
DEPARTMENT OF AGRICULTURE	SOUTH ASIA CLIMATE CHANGE M...	2/6/2025		$279,675
DEPARTMENT OF AGRICULTURE	E&E NEWS SERVICE RENEWAL FE...	2/6/2025		$512,686
DEPARTMENT OF AGRICULTURE	USDA, OC, POLITICO PLUS SU...	2/6/2025		$672,453
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS PLAN INCL...	2/6/2025		$159,575
DEPARTMENT OF AGRICULTURE	USDA, OFFICE OF THE GENERAL...	2/6/2025		$546,772
DEPARTMENT OF AGRICULTURE	THIS IS A PURCHASE ORDER FO...	2/6/2025		$42,540
DEPARTMENT OF AGRICULTURE	E & E NEWS SUITE LICENSES	2/6/2025		$87,913
DEPARTMENT OF AGRICULTURE	USDA, OFFICE OF PROPERTY AN...	2/6/2025		$14,360
DEPARTMENT OF AGRICULTURE	USDA, OFFICE OF THE SECRETA...	2/6/2025		$15,325
DEPARTMENT OF AGRICULTURE	INTERCULTURAL COMMUNICATION...	2/7/2025		$254,800
DEPARTMENT OF AGRICULTURE	DEIA CONSULTING SERVICES TO...	2/7/2025		$61,243
DEPARTMENT OF AGRICULTURE	DIVERSITYCOMM ADVERTISING	2/7/2025		$500,000
DEPARTMENT OF AGRICULTURE	DIVERSITYCOMM ADVERTISING	2/7/2025		$100,000
DEPARTMENT OF AGRICULTURE	TO PROCURE E&E NEWS SUBSCRI...	2/7/2025		$79,366
DEPARTMENT OF AGRICULTURE	POLITICOPRO SUBSCRIPTION FO...	2/7/2025		$87,270
DEPARTMENT OF AGRICULTURE	POLITICOPRO ANNUAL SUBSCRIP...	2/7/2025		$177,585
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS FOR 4 USE...	2/7/2025		$19,540
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS RENEWAL F...	2/7/2025		$23,520
DEPARTMENT OF AGRICULTURE	ANNUAL SUBSCRIPTION TO POLI...	2/7/2025		$11,235
DEPARTMENT OF AGRICULTURE	POLITICO PRO PLUS AS QUOTED...	2/7/2025		$178,456
DEPARTMENT OF AGRICULTURE	EEO SUPPORT SERVICES EIGHTE...	2/10/2025		$1,956,672
DEPARTMENT OF AGRICULTURE	SNAP CHANGE MANAGEMENT	2/10/2025		$420,495
DEPARTMENT OF AGRICULTURE	BLANKET PURCHASE AGREEMENT ...	2/10/2025		$4,000,000
DEPARTMENT OF AGRICULTURE	URBAN FOREST AND COMMUNITY ...	2/10/2025		$11,451
DEPARTMENT OF AGRICULTURE	BRAZIL FOREST AND GENDER CO...	2/10/2025		$229,637
DEPARTMENT OF AGRICULTURE	2025 GETTYSBURG STAFF RIDE ...	2/10/2025		$148,924
DEPARTMENT OF AGRICULTURE	LATIN AMERICA URBAN ECOLOGY...	2/10/2025		$47,508
DEPARTMENT OF AGRICULTURE	PROGRAM EVALUATION AND BASE...	2/10/2025		$82,557
DEPARTMENT OF AGRICULTURE	WORKPLACE ENVIRONMENT, KNOW...	2/10/2025		$116,117
DEPARTMENT OF AGRICULTURE	NIFA SMALL BUSINESS INNOVAT...	2/10/2025		$576,365
DEPARTMENT OF AGRICULTURE	ENVIRONMENTAL REGULATION CO...	2/10/2025		$80,653
DEPARTMENT OF AGRICULTURE	SILVACARBON WOMEN IN FOREST...	2/10/2025		$120,950
DEPARTMENT OF AGRICULTURE	ASIA PACIFIC - SOLOMON ISLA...	2/10/2025		$43,753
DEPARTMENT OF AGRICULTURE	FOREST SERVICE OVERSEAS ENV...	2/10/2025		$298,622
DEPARTMENT OF AGRICULTURE	REGIONAL GENDER AND GABON P...	2/10/2025		$37,818
DEPARTMENT OF AGRICULTURE	EL SALVADOR AND HONDURAS GE...	2/10/2025		$26,215
DEPARTMENT OF AGRICULTURE	BRAZIL WILDFIRE MANAGEMENT ...	2/10/2025		$25,450
DEPARTMENT OF AGRICULTURE	SERVICE STRATEGY PLANNING A...	2/12/2025		$34,977,118
DEPARTMENT OF AGRICULTURE	DEVELOP AND DEPLOY A NEW CU...	2/12/2025		$8,993,803
DEPARTMENT OF AGRICULTURE	HANDSHAKE SOFTWARE SUITE WI...	2/12/2025		$3,605,291
DEPARTMENT OF AGRICULTURE	HRES NATIONAL HIRING	2/12/2025		$4,675,956
DEPARTMENT OF AGRICULTURE	THE NRCS OPERATIONAL EXCELL...	2/12/2025		$3,008,882
DEPARTMENT OF AGRICULTURE	360 ASSESSMENT TOOL, ANALYS...	2/12/2025		$2,225,018
DEPARTMENT OF AGRICULTURE	WEPO TRAINING AND EMPLOYEE ...	2/12/2025		$1,453,000
DEPARTMENT OF AGRICULTURE	LEADERSHIP DEVELOPMENT PROG...	2/12/2025		$629,608
DEPARTMENT OF AGRICULTURE	THE UNITED STATES DEPARTMEN...	2/12/2025		$645,132
DEPARTMENT OF AGRICULTURE	MEDIA DEVELOPMENT, PRODUCTI...	2/12/2025		$150,000
DEPARTMENT OF AGRICULTURE	MARKETING COMMUNICATION SER...	2/12/2025		$400,000
DEPARTMENT OF AGRICULTURE	NON-MONETARY AWARDS	2/12/2025		$500,000
DEPARTMENT OF AGRICULTURE	ENVIRONMENTAL COMPLIANCE SE...	2/14/2025		$8,189,574
DEPARTMENT OF AGRICULTURE	USDA NAL WALL STREET JOURNA...	2/14/2025		$228,497
DEPARTMENT OF AGRICULTURE	RENEWAL OF THE FINANCIAL TI...	2/14/2025		$498,134
DEPARTMENT OF AGRICULTURE	CIVIL RIGHTS REQUESTS ASSIS...	1/30/2025		$2,473,872
DEPARTMENT OF AGRICULTURE	ADD FUNDS TO CR DEI LEP ALA...	1/30/2025		$170,000
DEPARTMENT OF AGRICULTURE	SEE FPDS	1/31/2025		SEE FPDS
DEPARTMENT OF AGRICULTURE	AUDIO VISUAL EQUIPMENT AND ...	2/6/2025		$54,957
DEPARTMENT OF AGRICULTURE	DIVERSITY AND INCLUSION CON...	2/6/2025		$70,000
DEPARTMENT OF AGRICULTURE	USDA, OFFICE OF THE CHIEF D...	2/7/2025		$200,000
DEPARTMENT OF AGRICULTURE	ASIA PACIFIC- SRI LANKA CLI...	2/7/2025		$57,978
DEPARTMENT OF AGRICULTURE	DIVERSITY, EQUITY, INCLUSIO...	2/7/2025		$374,542
DEPARTMENT OF AGRICULTURE	CENTRAL AMERICA GENDER ASSE...	2/10/2025		$28,993
DEPARTMENT OF AGRICULTURE	BPA CALL ORDER AGAINST SING...	2/10/2025		$149,923
DEPARTMENT OF AGRICULTURE	ADD FUNDS TO CIVIL RIGHTS D...	2/10/2025		$170,000
DEPARTMENT OF AGRICULTURE	BRAZIL COMMUNITY TOURISM CO...	2/10/2025		$51,462
DEPARTMENT OF AGRICULTURE	OCDIO COMMUNICATIONS AND EN...	2/10/2025		$400,000
DEPARTMENT OF AGRICULTURE	GUATEMALA AND BELIZE VISUAL...	2/10/2025		$16,245
DEPARTMENT OF AGRICULTURE	PROJECT MANAGEMENT OFFICE S...	2/12/2025		$29,892,412
DEPARTMENT OF AGRICULTURE	WASHINGTON OFFICE STATE PRI...	2/12/2025		$1,483,816
DEPARTMENT OF AGRICULTURE	THE OFFICE OF THE CHIEF IS ...	2/12/2025		$617,144
DEPARTMENT OF AGRICULTURE	SENIOR LEADERSHIP TEAMBUILD...	2/12/2025		$526,974
DEPARTMENT OF AGRICULTURE	GEOTASC PROVIDES NATIONAL L...	2/12/2025		$603,097
DEPARTMENT OF AGRICULTURE	GARTNER INC EXECUTIVE PROGR...	2/12/2025		$451,060
DEPARTMENT OF COMMERCE	EEO & DIVERSITY TRAINING	1/23/2025		$205,525
DEPARTMENT OF COMMERCE	DEIA SUPPORT SERVICES	1/29/2025		$444,000
DEPARTMENT OF COMMERCE	NMFS HUMAN CAPITAL MANAGEME...	1/30/2025		$348,400
DEPARTMENT OF COMMERCE	DIVERSITY, EQUITY, INCLUSIO...	1/31/2025		$1,199,116
DEPARTMENT OF COMMERCE	IN 2023 NOAA FISHERIES RELE...	1/31/2025		$1,681,746
DEPARTMENT OF COMMERCE	THE PURPOSE OF THIS CALL OR...	1/31/2025		$469,145
DEPARTMENT OF COMMERCE	ORGANIZATIONAL ASSESSMENT C...	2/3/2025		$4,562,861
DEPARTMENT OF COMMERCE	NON-PERSONAL SERVICES FOR J...	2/6/2025		$106,250
DEPARTMENT OF COMMERCE	BLANKET PURCHASE AGREEMENT ...	2/6/2025		$20,000,000
DEPARTMENT OF COMMERCE	BLANKET PURCHASE AGREEMENT ...	2/6/2025		$20,000,000
DEPARTMENT OF COMMERCE	CONTRIBUTION TO DEIBAJ STUDY	2/6/2025		$300,000
DEPARTMENT OF COMMERCE	BLANKET PURCHASE AGREEMENT ...	2/6/2025		$20,000,000
DEPARTMENT OF COMMERCE	EDUCATOR ENGAGEMENT SERVICES	2/6/2025		$4,125,438
DEPARTMENT OF COMMERCE	USPTO/OHR TALENT ACQUISITIO...	2/7/2025		$508,762
DEPARTMENT OF COMMERCE	ORGANIZATIONAL ASSESSMENT C...	2/10/2025		$25,000,000
DEPARTMENT OF COMMERCE	YOUTH WORK EXPERIENCE - YOU...	2/12/2025		$3,825,140
DEPARTMENT OF COMMERCE	ORGANIZATIONAL CLIMATE ASSE...	2/14/2025		$990,087
DEPARTMENT OF COMMERCE	STUDY ON EQUITABLE DISTRIBU...	2/14/2025		$439,282
DEPARTMENT OF COMMERCE	MEP BOARD DEVELOPMENT SUPPO...	2/14/2025		$176,419
DEPARTMENT OF COMMERCE	DEIA ANALYSIS SUPPORT SERVI...	2/14/2025		$121,093
DEPARTMENT OF COMMERCE	8A DIRECT AWARD TASK ORDER ...	1/31/2025		$600,000
DEPARTMENT OF COMMERCE	COUNCIL FOR INCLUSIVE INNOV...	2/4/2025		$3,430,745
DEPARTMENT OF COMMERCE	CONFERENCE BOARD/ENGAGEMENT...	2/6/2025		$111,000
DEPARTMENT OF COMMERCE	DEIA ASSESSMENTS	2/13/2025		$749,911
DEPARTMENT OF COMMERCE	PROVIDE REGIONAL LOGISTICAL...	2/13/2025		$184,000
DEPARTMENT OF COMMERCE	NON-PERSONAL SERVICES TO RE...	2/13/2025		$27,000
DEPARTMENT OF COMMERCE	NATIONAL ACADEMY OF SCIENCE...	2/13/2025		$500,000
DEPARTMENT OF COMMERCE	VIDEO AND DIGITAL MEDIA COM...	2/13/2025		$3,204,694
DEPARTMENT OF COMMERCE	LEADERSHIP DEVELOPMENT AND ...	2/13/2025		$4,559,012
DEPARTMENT OF COMMERCE	BPA CALL ORDER FOR SCIENCE ...	2/13/2025		$643,158
DEPARTMENT OF COMMERCE	PROVIDE SCIENCE-RELATED COM...	2/13/2025		$643,880
DEPARTMENT OF COMMERCE	PURCHASE INCENTIVES FOR CMP...	2/13/2025		$22,000
DEPARTMENT OF COMMERCE	SCIENTIFIC, ENGINEERING, AN...	2/14/2025		$2,014,381
DEPARTMENT OF COMMERCE	PROJECT MANAGEMENT/PROGRAM ...	2/14/2025		$1,052,914
DEPARTMENT OF COMMERCE	SCIENCE, ENGINEERING, AND T...	2/14/2025		$590,273
DEPARTMENT OF COMMERCE	NOS/AA - PROGRAM OFFICE COO...	2/14/2025		$846,483
DEPARTMENT OF COMMERCE	PROGRAM MANAGER FOR NURSING...	2/14/2025		$567,840
DEPARTMENT OF COMMERCE	TASK ORDER FOR TECHNOLOGY P...	2/14/2025		$466,884
DEPARTMENT OF COMMERCE	EEJ PROJECT CULTURAL LIAISO...	2/14/2025		$249,977
DEPARTMENT OF COMMERCE	DEVELOPMENT OF PIFSC STRATE...	2/14/2025		$277,521
DEPARTMENT OF COMMERCE	THE PURPOSE OF THE REQUIREM...	2/14/2025		$140,000
DEPARTMENT OF COMMERCE	ARCHIBUS. PLANNING, IMPLEME...	2/14/2025		$80,922
DEPARTMENT OF COMMERCE	TASK ORDER CALL AGAINST: ...	2/14/2025		$36,805
DEPARTMENT OF COMMERCE	RE-CREATION OF ORIGINAL FPD...	2/14/2025		$96,639
DEPARTMENT OF COMMERCE	OFFICE OF FACILITIES STAFFI...	2/14/2025		$199,867
DEPARTMENT OF COMMERCE	OFFICE OF PATENT FINANCIAL ...	2/14/2025		$4,282,584
DEPARTMENT OF COMMERCE	PATENT PRODUCT LINE MANAGEM...	2/14/2025		$3,537,094
DEPARTMENT OF COMMERCE	THE OFFICE OF PATENT INFORM...	2/14/2025		$2,140,897
DEPARTMENT OF COMMERCE	THIS IS A BASE AWARD BLANKE...	2/14/2025		$330,694
DEPARTMENT OF COMMERCE	THIS EFFORT IS THE PROCUREM...	2/14/2025		$13,733
DEPARTMENT OF COMMERCE	SEE FPDS	2/14/2025		SEE FPDS
DEPARTMENT OF COMMERCE	PROFESSIONAL SERVICES	2/14/2025		$5,060,544
DEPARTMENT OF COMMERCE	SCIENTIFIC AND TECHNICAL SU...	2/14/2025		$10,611,986
DEPARTMENT OF COMMERCE	STRATEGIC PROGRAM MANAGEMEN...	2/14/2025		$1,974,630
DEPARTMENT OF COMMERCE	NTIA INDEPENDENT IT ORGANIZ...	2/14/2025		$1,744,700
DEPARTMENT OF COMMERCE	FISCAL YEAR OMBI REPORTS SE...	2/14/2025		$1,368,838
DEPARTMENT OF COMMERCE	SUPPORT SERVICES	2/14/2025		$694,831
DEPARTMENT OF COMMERCE	COST-BENEFIT ANALYSIS AND T...	2/14/2025		$660,000
DEPARTMENT OF COMMERCE	SUPPORT- PROFESSIONAL: ENGI...	2/14/2025		$112,500
DEPARTMENT OF COMMERCE	SPECIAL STUDIES/ANALYSIS- S...	2/14/2025		$81,000
DEPARTMENT OF COMMERCE	SUPPORT- PROFESSIONAL: ENGI...	2/14/2025		$19,200
DEPARTMENT OF COMMERCE	CONSULTATIVE AND RESEARCH S...	2/14/2025		$5,000
DEPARTMENT OF COMMERCE	IT SUBSCRIPTION AND ADVISOR...	2/14/2025		$279,858
DEPARTMENT OF COMMERCE	IT SUBSCRIPTION AND CONSULTING	2/14/2025		$99,567
DEPARTMENT OF COMMERCE	GARTNER SUBSCRIPTION	2/14/2025		$105,465
DEPARTMENT OF COMMERCE	GARTNER SUBSCRIPTION	2/14/2025		$383,228
DEPARTMENT OF COMMERCE	GARTNER FOR FINANCIAL LEADERS	2/14/2025		$105,465
DEPARTMENT OF COMMERCE	OSIM PROGRAM MANAGEMENT OFF...	2/14/2025		$299,877
DEPARTMENT OF COMMERCE	MEP NATIONAL NETWORK KNOWLE...	2/14/2025		$579,882
DEPARTMENT OF COMMERCE	IMPLEMENTATION PHASE	2/14/2025		$199,024
DEPARTMENT OF COMMERCE	MEP CENTER DIRECTOR SUPPORT...	2/14/2025		$398,502
DEPARTMENT OF COMMERCE	MANUFACTURING EXTENSION PAR...	2/14/2025		$244,990
DEPARTMENT OF DEFENSE	LEADING INCLUSIVELY VIRTUAL...	1/24/2025		$3,615,921
DEPARTMENT OF DEFENSE	AIR UNIVERSITY PROFESSION O...	2/5/2025		$2,406,252
DEPARTMENT OF DEFENSE	DIVERSITY, EQUITY AND INCLU...	2/6/2025		$130,000
DEPARTMENT OF DEFENSE	DEPARTMENT OF DEFENSE (DOD)...	2/12/2025		$13,318,430
DEPARTMENT OF DEFENSE	INITIATE THE EEO PROCESS AN...	2/12/2025		$283,234
DEPARTMENT OF DEFENSE	NON-PERSONAL SERVICES FOR A...	2/12/2025		$621,140
DEPARTMENT OF DEFENSE	POLITICO PRO PLUS- DIGITIAL...	2/12/2025		$27,820
DEPARTMENT OF DEFENSE	THE SOUTHWEST DIVISION HAS ...	2/12/2025		$101,820
DEPARTMENT OF DEFENSE	SUBSCRIPTION RENEWAL TO E&E...	2/12/2025		$134,100
DEPARTMENT OF EDUCATION	THIS TASK ORDER IS TO PROVI...	1/23/2025		$46,300
DEPARTMENT OF EDUCATION	DECISION SUPPORT SERVICES A...	2/5/2025		$623,191
DEPARTMENT OF EDUCATION	DIGITAL MODERNIZATION PROGR...	2/5/2025		$23,497,752
DEPARTMENT OF EDUCATION	CONTINUATION OF PROGRAM MAN...	2/5/2025		$4,461,320
DEPARTMENT OF EDUCATION	DAILY NEWS DIGEST	2/5/2025		$1,346,916
DEPARTMENT OF EDUCATION	ACCESS TO A CATALOG OF TRAI...	2/5/2025		$307,542
DEPARTMENT OF EDUCATION	SUPPORT FOR EDUCATION DEPAR...	2/11/2025		$4,498,436
DEPARTMENT OF EDUCATION	INFORMATION ASSURANCE SUPPO...	2/11/2025		$3,406,477
DEPARTMENT OF EDUCATION	8(A) SOLE SOURCE CONTRACT T...	2/11/2025		$3,153,440
DEPARTMENT OF EDUCATION	HR SUPPORT SPECIALIST FOR O...	2/11/2025		$192,825
DEPARTMENT OF EDUCATION	SENIOR DATABASE ADMINISTRATOR	2/11/2025		$1,546,848
DEPARTMENT OF EDUCATION	SHAREPOINT CUSTOMER SUPPORT...	2/11/2025		$737,665
DEPARTMENT OF EDUCATION	HUMAN RESOURCES (HR) SURGE ...	2/11/2025		$674,503
DEPARTMENT OF EDUCATION	ED FACTS DATA AND DISSEMINA...	2/11/2025		$39,369,398
DEPARTMENT OF EDUCATION	THIS CONTRACT IS TO CONDUC...	2/11/2025		$54,271,412
DEPARTMENT OF EDUCATION	WHAT WORKS CLEARINGHOUSE SU...	2/11/2025		$23,319,641
DEPARTMENT OF EDUCATION	INTERNATIONAL ACTIVITIES CO...	2/11/2025		$23,184,927
DEPARTMENT OF EDUCATION	ASSISTANCE WITH REVIEW OF G...	2/11/2025		$21,375,324
DEPARTMENT OF EDUCATION	EDUCATION DEMOGRAPHIC AND G...	2/11/2025		$19,220,083
DEPARTMENT OF EDUCATION	THIS CONTRACT IS TO EVALUAT...	2/11/2025		$40,947,225
DEPARTMENT OF EDUCATION	ASSESSING THE EFFECTIVENESS...	2/11/2025		$16,464,404
DEPARTMENT OF EDUCATION	COMMON EDUCATION DATA STAND...	2/11/2025		$14,082,522
DEPARTMENT OF EDUCATION	DEP. OF ED. INSTITUTE OF ED...	2/11/2025		$14,316,431
DEPARTMENT OF EDUCATION	EO14042 TECHNICAL ASSISTANC...	2/11/2025		$15,000,236
DEPARTMENT OF EDUCATION	RESEARCH STUDY TO SUPPORT S...	2/11/2025		$12,360,291
DEPARTMENT OF EDUCATION	LONGITUDINAL SURVEYS BRANCH...	2/11/2025		$10,973,208
DEPARTMENT OF EDUCATION	EO14042 - STATISTICAL STAND...	2/11/2025		$11,578,308
DEPARTMENT OF EDUCATION	THE PURPOSE OF THIS PROCURE...	2/11/2025		$10,257,928
DEPARTMENT OF EDUCATION	IES DIGITAL MODERNIZATION T...	2/11/2025		$14,791,490
DEPARTMENT OF EDUCATION	THIS CONTRACT IS CONTRACT T...	2/11/2025		$13,359,008
DEPARTMENT OF EDUCATION	THIS CONTRACT IS TO CONDUCT...	2/11/2025		$13,364,740
DEPARTMENT OF EDUCATION	THIS CONTRACT SUPPORTS THE ...	2/11/2025		$4,606,863
DEPARTMENT OF EDUCATION	IGF::OT::IGF "OTHER FUNCTIO...	2/11/2025		$8,662,009
DEPARTMENT OF EDUCATION	THIS CONTRACT TO CONDUCT AN...	2/11/2025		$5,630,679
DEPARTMENT OF EDUCATION	INTERNATIONAL ACTIVITIES RE...	2/11/2025		$4,185,611
DEPARTMENT OF EDUCATION	THE TEACHING AND LEARNING I...	2/11/2025		$4,089,422
DEPARTMENT OF EDUCATION	THE PURPOSE OF THIS REQUIRE...	2/11/2025		$3,836,117
DEPARTMENT OF EDUCATION	THE PURPOSE OF THIS REQUIRE...	2/11/2025		$5,842,394
DEPARTMENT OF EDUCATION	LOGISTICAL SUPPORT SERVICES...	2/11/2025		$2,860,554
DEPARTMENT OF EDUCATION	LOGISTICS AND EVEN PLANNING...	2/11/2025		$3,342,213
DEPARTMENT OF EDUCATION	THE PURPOSE OF THIS REQUIRE...	2/11/2025		$2,758,849
DEPARTMENT OF EDUCATION	HIGH SCHOOL LONGITUDINAL ST...	2/11/2025		$1,999,762
DEPARTMENT OF EDUCATION	EVALUATION OF GRANT PROGRAM...	2/11/2025		$2,899,258
DEPARTMENT OF EDUCATION	TASK AWARD AWARD FOR REL EV...	2/11/2025		$2,082,525
DEPARTMENT OF EDUCATION	PESTO TO 0005	2/11/2025		$3,711,302
DEPARTMENT OF EDUCATION	PROVIDE SUPPORT FOR OUTREAC...	2/11/2025		$6,647,530
DEPARTMENT OF EDUCATION	THE PURPOSE OF THIS PROCURE...	2/11/2025		$1,239,292
DEPARTMENT OF EDUCATION	PESTO TO 0003	2/11/2025		$3,688,070
DEPARTMENT OF EDUCATION	PESTO TASK ORDER 0004	2/11/2025		$3,742,165
DEPARTMENT OF EDUCATION	PESTO TO 7	2/11/2025		$2,599,392
DEPARTMENT OF EDUCATION	ASSISTANCE WITH SURVEYS FOR...	2/11/2025		$1,316,869
DEPARTMENT OF EDUCATION	TO SUPPORT THE ACTIVITIES O...	2/11/2025		$841,728
DEPARTMENT OF EDUCATION	THE PURPOSE OF THIS REQUIRE...	2/11/2025		$769,645
DEPARTMENT OF EDUCATION	IT INVESTMENT MANAGEMENT SU...	2/11/2025		$517,018
DEPARTMENT OF EDUCATION	THE OBJECTIVE OF THIS ORDER...	2/11/2025		$757,566
DEPARTMENT OF EDUCATION	POST SECONDARY PUBLICATIONS...	2/11/2025		$488,017
DEPARTMENT OF EDUCATION	APPIAN MAINTENANCE SOFTWARE...	2/11/2025		$147,646
DEPARTMENT OF EDUCATION	FSA REQUIREMENT TO CONDUCT ...	2/11/2025		$1,821,657
DEPARTMENT OF EDUCATION	THIS IS A CONTRACT TO EXAMI...	2/11/2025		$14,513,387
DEPARTMENT OF EDUCATION	2019-20 NATIONAL POSTSECOND...	2/11/2025		$76,241,771
DEPARTMENT OF EDUCATION	THE HIGH SCHOOL AND BEYOND ...	2/11/2025		$98,525,000
DEPARTMENT OF EDUCATION	THE DESIGN AND CONDUCT OF T...	2/11/2025		$105,979,407
DEPARTMENT OF EDUCATION	THE DEVELOPMENT AND TECHNIC...	2/11/2025		$20,297,142
DEPARTMENT OF EDUCATION	FIRST INTERNATIONAL STUDIES...	2/11/2025		$67,589,195
DEPARTMENT OF EDUCATION	THE PURPOSE OF THIS STUDY I...	2/11/2025		$1,926,885
DEPARTMENT OF EDUCATION	THIS CONTRACT IS FOR ASSIST...	2/11/2025		$4,499,965
DEPARTMENT OF EDUCATION	THIS FIVE-YEAR INDEFINITE D...	2/11/2025		$2,337,660
DEPARTMENT OF EDUCATION	U.S. PARTICIPATION IN THE T...	2/11/2025		$28,546,955
DEPARTMENT OF EDUCATION	THE PURPOSE OF THE ADMINIST...	2/11/2025		$5,537,215
DEPARTMENT OF EDUCATION	REQUIREMENT TO PROVIDE TECH...	2/11/2025		$3,409,982
