Agency	Description	Uploaded on	Link	Value
DEPARTMENT OF VETERANS AFFAIRS	THE PURPOSE OF THIS AWARD I...	2/7/2025		$178,202
DEPARTMENT OF VETERANS AFFAIRS	CIVIL TREATMENT TRAINING CO...	2/10/2025		$289,778
DEPARTMENT OF VETERANS AFFAIRS	GOVERNMENT PLUS MEMBERSHIP/...	2/10/2025		$15,000
DEPARTMENT OF VETERANS AFFAIRS	HEALTHCARE DATABASE SUBSCRI...	2/11/2025		$1,089,850
DEPARTMENT OF VETERANS AFFAIRS	WOMEN'S CLINIC EQUITY BOOST...	1/29/2025		$298,021
DEPARTMENT OF THE INTERIOR	E&E NEWS SUITE SUBSCRIPTION...	2/5/2025		$719,271
DEPARTMENT OF THE INTERIOR	E&E NEWS SERVICE SUBSCRIPTI...	2/5/2025		$14,520
DEPARTMENT OF THE INTERIOR	ON-LINE NEWS SUBSCRIPTION	2/5/2025		$797,756
DEPARTMENT OF THE INTERIOR	E&E NEWS ONLINE PUBLICATION...	2/6/2025		$120,500
DEPARTMENT OF THE INTERIOR	E&E NEWS DIRECTOR'S OFFICE	2/6/2025		$81,720
DEPARTMENT OF THE INTERIOR	E & E NEWS	2/6/2025		$66,324
DEPARTMENT OF THE INTERIOR	SEE FPDS	2/10/2025		SEE FPDS
DEPARTMENT OF THE INTERIOR	NATIONAL PARK SERVICE NPS R...	1/29/2025		$3,708,799
DEPARTMENT OF THE INTERIOR	DIVERSITY MARKETING SUPPORT...	1/29/2025		$389,493
DEPARTMENT OF THE INTERIOR	THE UNITED STATES DEPARTMEN...	2/3/2025		$579,949
DEPARTMENT OF THE INTERIOR	RACIAL AND ETHNIC DISPARITI...	2/3/2025		$550,942
DEPARTMENT OF THE INTERIOR	USDA FNS BUILDING EQUITY IN...	2/3/2025		$248,065
DEPARTMENT OF THE INTERIOR	GROUNDWATER EXPLORATION AND...	2/5/2025		$4,210,000
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION SERVICES	2/5/2025		$152,545
DEPARTMENT OF THE INTERIOR	ONLINE E-SUBSCRIPTION SERVI...	2/5/2025		$147,227
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION TO IN...	2/5/2025		$8,000
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION RENEWAL	2/5/2025		$62,500
DEPARTMENT OF THE INTERIOR	SEE FPDS	2/5/2025		SEE FPDS
DEPARTMENT OF THE INTERIOR	E&E PUBLISHING SUBSCRIPTION	2/5/2025		$86,026
DEPARTMENT OF THE INTERIOR	E&E ANNUAL SUBSCRIPTION	2/5/2025		$146,517
DEPARTMENT OF THE INTERIOR	E&E SUBSCRIPTION SERVICES	2/5/2025		$215,897
DEPARTMENT OF THE INTERIOR	OBTAIN ONLINE PUBLICATION S...	2/5/2025		$148,670
DEPARTMENT OF THE INTERIOR	FIRM-FIXED PRICE TASK ORDER...	2/5/2025		$232,875
DEPARTMENT OF THE INTERIOR	OFFICE OF RESTORATION AND D...	2/5/2025		$65,813
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION	2/5/2025		$72,814
DEPARTMENT OF THE INTERIOR	NR-IOA-55-NEW CONTRACT E&E ...	2/5/2025		$1,105,125
DEPARTMENT OF THE INTERIOR	ENVIRONMENTAL AND SUSTAINAB...	2/6/2025		$555,958
DEPARTMENT OF THE INTERIOR	UNCOMPAHGRE FIELD OFFICE RE...	2/6/2025		$915,739
DEPARTMENT OF THE INTERIOR	E&E NEWS	2/6/2025		$448,373
DEPARTMENT OF THE INTERIOR	POLITICO - EMA	2/6/2025		$268,088
DEPARTMENT OF THE INTERIOR	POLITICO E&E PUBLISHING REN...	2/6/2025		$164,672
DEPARTMENT OF THE INTERIOR	POLITICO - E&E NEWS AND GR...	2/6/2025		$89,962
DEPARTMENT OF THE INTERIOR	ONLINE SUBSCRIPTION TO POLI...	2/6/2025		$64,282
DEPARTMENT OF THE INTERIOR	LEGISLATIVE RESEARCH TOOL	2/6/2025		$61,127
DEPARTMENT OF THE INTERIOR	DOI, POB	2/6/2025		$59,190
DEPARTMENT OF THE INTERIOR	ONLINE SUBSCRIPTION TO POLI...	2/6/2025		$36,500
DEPARTMENT OF THE INTERIOR	PHOENIX AREA OFFICE (PXAO) ...	2/12/2025		$81,175
ENVIRONMENTAL PROTECTION AGENCY	DIVERSITY, EQUITY, INCLUSIO...	1/24/2025		$15,000,000
ENVIRONMENTAL PROTECTION AGENCY	DIVERSITY, EQUITY, INCLUSIO...	1/24/2025		$15,000,000
ENVIRONMENTAL PROTECTION AGENCY	DIVERSITY, EQUITY, INCLUSIO...	1/24/2025		$15,000,000
ENVIRONMENTAL PROTECTION AGENCY	TO PURCHASE A TWO YEAR SUBS...	2/7/2025		$95,922
ENVIRONMENTAL PROTECTION AGENCY	POLITICO PRO PLUS/PRO ANALY...	2/10/2025		$179,409
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS 12 MONTH BASE PERI...	2/10/2025		$545,710
ENVIRONMENTAL PROTECTION AGENCY	CONSULTING SERVICES TO DEVE...	1/24/2025		$180,000
ENVIRONMENTAL PROTECTION AGENCY	20, ONE-YEAR E&E PUBLISHING...	2/13/2025		$328,561
ENVIRONMENTAL PROTECTION AGENCY	SUBSCRIPTION TO E&E NEWS (P...	2/13/2025		$165,768
ENVIRONMENTAL PROTECTION AGENCY	THIS IS A FIRM FIXED PRICE ...	2/13/2025		$184,915
ENVIRONMENTAL PROTECTION AGENCY	AWARD 30 USER SEAT LICENSE ...	2/13/2025		$98,665
ENVIRONMENTAL PROTECTION AGENCY	POLITICO PRO PLUS ONE YEAR ...	2/13/2025		$115,180
ENVIRONMENTAL PROTECTION AGENCY	TWELVE (12) MONTH SUBSCRIPT...	2/13/2025		$50,274
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS ELECTRONIC SUBSCRI...	2/13/2025		$29,239
ENVIRONMENTAL PROTECTION AGENCY	SUBSCRIPTION FOR DAILY COMP...	2/13/2025		$29,040
ENVIRONMENTAL PROTECTION AGENCY	THE PURPOSE OF THIS REQUIRE...	2/13/2025		$13,575
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS, PURCHASE ONE-YEAR...	2/13/2025		$40,499
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS SUBSCRIPTION SERVICES	2/13/2025		$281,786
ENVIRONMENTAL PROTECTION AGENCY	TO SECURE 70 USERS SLOTS FO...	2/13/2025		$43,560
ENVIRONMENTAL PROTECTION AGENCY	SEE FPDS	2/13/2025		SEE FPDS
ENVIRONMENTAL PROTECTION AGENCY	8 LICENSES/SUBSCRIPTIONS OF...	2/13/2025		$59,475
ENVIRONMENTAL PROTECTION AGENCY	TO PROCURE A 1-YEAR ONLINE ...	2/13/2025		$25,800
ENVIRONMENTAL PROTECTION AGENCY	POLITICO PRO RENEWAL FY2025...	2/13/2025		$399,091
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO SUBSCRIPTION	2/7/2025		$37,000
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO PREMIUM SUBSCR...	2/7/2025		$33,525
EXECUTIVE OFFICE OF THE PRESIDENT	SEE FPDS	2/7/2025		SEE FPDS
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO SUBSCRIPTION S...	2/10/2025		$9,750
EXECUTIVE OFFICE OF THE PRESIDENT	SUBSCRIPTION	2/10/2025		$10,250
EXECUTIVE OFFICE OF THE PRESIDENT	SUBSCRIPTIONS	2/10/2025		$29,175
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO	2/10/2025		$81,000
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO PLUS	2/10/2025		$27,230
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO PLUS	2/10/2025		$31,450
EXECUTIVE OFFICE OF THE PRESIDENT	SUBSCRIPTION	2/11/2025		$2,000,000
EXECUTIVE OFFICE OF THE PRESIDENT	THE PURPOSE OF THIS DELIVER...	2/10/2025		$808,620
EXPORT-IMPORT BANK OF THE US	ONLINE SUBSCRIPTION FOR POL...	2/10/2025		$184,645
FEDERAL COMMUNICATIONS COMMISSION	POLITICO PRO PLUS	2/13/2025		$261,580
FEDERAL MEDIATION AND CONCILIATION SERVICE	EEO DEIA SUPPORT	2/13/2025		$440,000
FEDERAL MEDIATION AND CONCILIATION SERVICE	INTERNAL CONTROLS CONTRACTOR	2/13/2025		$182,844
FEDERAL MEDIATION AND CONCILIATION SERVICE	ERM SUPPORT SERVICES	2/13/2025		$354,969
FEDERAL MEDIATION AND CONCILIATION SERVICE	RECORDS MANAGEMENT SUPPORT ...	2/13/2025		$232,437
FEDERAL MEDIATION AND CONCILIATION SERVICE	CRM IMPLEMENTATION	2/13/2025		$3,277,569
GENERAL SERVICES ADMINISTRATION	ONLINE RECRUITING SERVICES	1/23/2025		$1,978,052
GENERAL SERVICES ADMINISTRATION	THE PURPOSE OF THIS TASK OR...	2/3/2025		$104,564
GENERAL SERVICES ADMINISTRATION	PSHC - INSTRUCTIONAL DESIGN...	2/3/2025		$593,715
GENERAL SERVICES ADMINISTRATION	GINNIE MAE SECURITIZED TRAN...	2/12/2025		$36,464,018
GENERAL SERVICES ADMINISTRATION	BLOOMBERG ANYWHERE SUBSCRIP...	2/12/2025		$159,480
GENERAL SERVICES ADMINISTRATION	SUPPORT FOR THE ADMINISTRAT...	1/23/2025		$5,979,853
GENERAL SERVICES ADMINISTRATION	DEIA TRAINING	1/23/2025		$7,584
GENERAL SERVICES ADMINISTRATION	OTHER THAN SCHEDULE	1/31/2025		$3,109,145
GENERAL SERVICES ADMINISTRATION	GOVERNMENT WIDE CATEGORY MA...	1/31/2025		$32,687,527
GENERAL SERVICES ADMINISTRATION	FEDERAL SUPPLY SCHEDULE CON...	1/31/2025		$11,864,766
GENERAL SERVICES ADMINISTRATION	ORDER FOR JOINT PRODUCT TEA...	1/31/2025		$22,733,950
GENERAL SERVICES ADMINISTRATION	RESEARCH MEMBERSHIPS & CONS...	2/3/2025		$13,715,913
GENERAL SERVICES ADMINISTRATION	FACILIATATION CONSULTING AN...	2/3/2025		$352,443
GENERAL SERVICES ADMINISTRATION	THE SCOPE OF THIS TO IS TO ...	2/3/2025		$54,596,088
GENERAL SERVICES ADMINISTRATION	BASE YEAR SERVICE	2/3/2025		$1,250,243
GENERAL SERVICES ADMINISTRATION	ACQUISITION SUPPORT FOR QMA	2/3/2025		$340,512
GENERAL SERVICES ADMINISTRATION	FACILITATION AND CONSULTATI...			$353,684
GENERAL SERVICES ADMINISTRATION	ZERO TRUST TRAINING, CERTIF...	2/3/2025		$1,611,841
GENERAL SERVICES ADMINISTRATION	ITC SME PMO SUPPORT	2/3/2025		$0
GENERAL SERVICES ADMINISTRATION	THE PURPOSE OF THIS TASK OR...	2/3/2025		$849,689
GENERAL SERVICES ADMINISTRATION	THE CONTRACTOR SHALL SUPPOR...	2/3/2025		$185,627
GENERAL SERVICES ADMINISTRATION	EXECUTIVE COACHING AND FACI...	2/3/2025		$976,226
GENERAL SERVICES ADMINISTRATION	USAGOV REIMAGINED TOTAL OR...	2/3/2025		$9,433,515
GENERAL SERVICES ADMINISTRATION	DIGITALGOV PROGRAM MANAGEME...	2/3/2025		$7,068,884
GENERAL SERVICES ADMINISTRATION	FAS 360 DEVELOPMENT PROGRAM...	2/3/2025		$258,943
GENERAL SERVICES ADMINISTRATION	ARP NATIONAL EVALUATION	2/3/2025		$9,400,075
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0012 ACCELERATO...	2/4/2025		$275,368
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0006 FEDRAMP PMO...	2/4/2025		$4,499,790
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0014 PLATFORMS A...	2/4/2025		$1,496,965
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0010 STRATEGIC ...	2/4/2025		$1,128,366
GENERAL SERVICES ADMINISTRATION	AMERICAN RESCUE PLAN ARP PR...	2/4/2025		$974,476
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0011 SOLUTIONS A...	2/4/2025		$561,554
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0007 FRONT OFFI...	2/4/2025		$3,538,037
GENERAL SERVICES ADMINISTRATION	PARTNERSHIPS PROGRAM ANALYST	2/4/2025		$292,099
GENERAL SERVICES ADMINISTRATION	E&E NEWS	2/5/2025		$221,100
GENERAL SERVICES ADMINISTRATION	SEE FPDS	2/5/2025		SEE FPDS
GENERAL SERVICES ADMINISTRATION	COE STRATEGIC SUPPORT	2/5/2025		$9,645,371
GENERAL SERVICES ADMINISTRATION	USDCPIF SUPPORT SERVICES TO...	2/5/2025		$2,169,217
GENERAL SERVICES ADMINISTRATION	MARKET DEVELOPMENT MD SUPPO...	2/5/2025		$1,440,639
GENERAL SERVICES ADMINISTRATION	LOGIN INFRASTRUCTURE	2/5/2025		$7,348,340
GENERAL SERVICES ADMINISTRATION	TTS-WIDE USERTESTING LICENS...	2/5/2025		$1,287,692
GENERAL SERVICES ADMINISTRATION	WORKFORCE TRANSFORMATION PM...	2/5/2025		$45,851,590
GENERAL SERVICES ADMINISTRATION	SEE FPDS	2/5/2025		SEE FPDS
GENERAL SERVICES ADMINISTRATION	10X PROGRAM AND PROJECT MAN...	2/6/2025		$4,629,752
GENERAL SERVICES ADMINISTRATION	OPEN INNOVATION PMO SUPPORT	2/6/2025		$4,638,174
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0013 ARP DELIVE...	2/6/2025		$835,056
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0008 TTS OUTREA...	2/6/2025		$453,196
GENERAL SERVICES ADMINISTRATION	CALL ORDER 0015 OROS STRATE...	2/6/2025		$26,500
GENERAL SERVICES ADMINISTRATION	CIVIC DIGITAL FELLOWS SUMME...	2/6/2025		$707,737
GENERAL SERVICES ADMINISTRATION	EO14042: 47PA0021F0001, GRA...	2/7/2025		$1,763,437
GENERAL SERVICES ADMINISTRATION	PROGRAM SUPPORT FOR THE GRE...	2/7/2025		$5,712,309
GENERAL SERVICES ADMINISTRATION	USAGOV COMPLEX FINANCIAL SP...	2/7/2025		$684,058
GENERAL SERVICES ADMINISTRATION	INDUSTRIAL BASE AND CLIMATE...	2/7/2025		$2,534,026
GENERAL SERVICES ADMINISTRATION	RENT BILL MANAGEMENT OCCUPA...	2/10/2025		$10,480,946
GENERAL SERVICES ADMINISTRATION	REAL ESTATE VALUATION SUPPO...	2/10/2025		$3,357,559
GENERAL SERVICES ADMINISTRATION	BPA CALL 3 FOR MARKETING AN...	2/10/2025		$752,170
GENERAL SERVICES ADMINISTRATION	GOVERNMENT-WIDE PROFESSIONA...	2/10/2025		$29,997,093
GENERAL SERVICES ADMINISTRATION	LOGINGOVS IDENTITY VERIFICA...	2/12/2025		$6,947,107
GENERAL SERVICES ADMINISTRATION	OASIS CONTRACT SUPPORT -- A...	2/12/2025		$1,087,518
GENERAL SERVICES ADMINISTRATION	MIA SUBSCRIPTION	2/12/2025		$54,172
GENERAL SERVICES ADMINISTRATION	THE PURCHASE IS FOR BLOOMBE...	2/12/2025		$288,477
GENERAL SERVICES ADMINISTRATION	COMMS CHG MNGMT AND USER AN...	2/13/2025		$10,722,115
GOVERNMENT ACCOUNTABILITY OFFICE	ENVIRONMENT & ENERGY ELECTR...	2/13/2025		$448,270
INSTITUTE OF MUSEUM AND LIBRARY SERVICES	THIS BLANKET PURCHASE AGREE...	2/3/2025		$4,000,000
INSTITUTE OF MUSEUM AND LIBRARY SERVICES	CONTRACTOR SUPPORT FOR THE ...	2/4/2025		$429,811
INSTITUTE OF MUSEUM AND LIBRARY SERVICES	EXTEND THE THREE IMLS LEARN...	2/4/2025		$1,082,616
MARINE MAMMAL COMMISSION	SEE FPDS	2/13/2025		SEE FPDS
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	POLITICO PRO AGREEMENT FOR ...	2/13/2025		$10,600
NATIONAL GALLERY OF ART	HARASSMENT PREVENTION & LGB...	2/12/2025		$177,109
NATIONAL LABOR RELATIONS BOARD	DEIA SUPPORT AND ONLINE POR...	1/27/2025		$192,000
NATIONAL LABOR RELATIONS BOARD	POLITICO PRO PREMIUM 5-WEB ...	2/13/2025		$64,937
NATIONAL SCIENCE FOUNDATION	RENEWAL SUBSCRIPTION E&E NEWS	2/10/2025		$12,388
NATIONAL SCIENCE FOUNDATION	NSF DIVERSITY, EQUITY, INCL...	1/29/2025		$1,250,000
NUCLEAR REGULATORY COMMISSION	DIVERSITY AND INCLUSION SUP...	1/28/2025		$804,716
NUCLEAR REGULATORY COMMISSION	E&E ELECTRONIC NEWSLETTERS ...	2/10/2025		$198,858
OFFICE OF PERSONNEL MANAGEMENT	SERVICES IN SUPPORT OF THE ...	2/10/2025		$7,211,760
OFFICE OF PERSONNEL MANAGEMENT	OPM HRS TALENT ACQUISITION ...	1/28/2025		$45,593,373
OFFICE OF PERSONNEL MANAGEMENT	OPM HRS RB BPA CALL 28 IHS SFC	1/29/2025		$3,323,309
OFFICE OF PERSONNEL MANAGEMENT	ODEIA RECRUITMENT AND BRAND...	2/12/2025		$2,211,715
OFFICE OF PERSONNEL MANAGEMENT	SEE FPDS	2/13/2025		SEE FPDS
RAILROAD RETIREMENT BOARD	BASE YEAR DEIA DATA ANALYTI...	1/29/2025		$157,500
SECURITIES AND EXCHANGE COMMISSION	ACCESS TO POLITICO PRO US A...	2/7/2025		$478,470
SECURITIES AND EXCHANGE COMMISSION	OMWI DIVERSITY AND INCLUSIO...	2/6/2025		$512,666
SECURITIES AND EXCHANGE COMMISSION	ACCESS TO THOMSON REUTERS W...	2/13/2025		$10,398,260
SMALL BUSINESS ADMINISTRATION	EQUITY IN FEDERAL PROCUREME...	1/22/2025		$553,792
SMALL BUSINESS ADMINISTRATION	NEAL R GROSS-COURT REPORTIN...	2/12/2025		$255,000
SOCIAL SECURITY ADMINISTRATION	SSA SEEKS A CONTRACTOR TO C...	1/29/2025		$419,022
SOCIAL SECURITY ADMINISTRATION	ITSSC TASK ORDER FOR SYSTEMS	2/1/2025		$1,033,638,089
SOCIAL SECURITY ADMINISTRATION	SUSTAINABILITY CONSULTING S...	2/5/2025		$322,455
SOCIAL SECURITY ADMINISTRATION	FOUR (4) POLITICO PRO PLUS ...	2/13/2025		$14,000
SURFACE TRANSPORTATION BOARD	TO ESTABLISH A CONTRACT VIA...	2/14/2025		$80,093
SURFACE TRANSPORTATION BOARD	TO AWARD A TASK ORDER TO NU...	2/14/2025		$307,990
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DEIA-M TRAINING SERVICES: C...	2/12/2025		$250,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID/BURMA DIVERSITY AND I...	2/12/2025		$45,288,500
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW PSC TO SERVE AS A (DIVE...	2/12/2025		$859,057
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DIVERSITY, EQUITY, AND INCL...	2/12/2025		$1,018,354
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW PSC TO SERVE AS A DEPUT...	2/12/2025		$1,033,842
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS PERSONA...	2/12/2025		$380,868
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW PSC TO SERVE AS A MANAG...	2/12/2025		$339,310
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW PSC TO SERVE AS A SENIO...	2/12/2025		$1,183,791
US AGENCY FOR INTERNATIONAL DEVELOPMENT	SEE FPDS	2/12/2025		SEE FPDS
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS PROCUREMENT IS FOR COM...	1/27/2025		$49,855,124
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THE GENDEV I...	1/28/2025		$40,730,465
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE CLIMATE ADAPTATION SUPP...	1/28/2025		$37,997,981
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE CONTRACTOR SHALL PROVID...	1/28/2025		$99,078,584
US AGENCY FOR INTERNATIONAL DEVELOPMENT	IPI/GEWE ENGENDERING INDUST...	1/28/2025		$39,338,939
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID LOCALIZATION, INCLUSI...	1/28/2025		$51,561,586
US AGENCY FOR INTERNATIONAL DEVELOPMENT	UNITED STATES AGENCY FOR IN...	1/28/2025		$56,575,516
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THE FEED THE...	1/31/2025		$4,146,235
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS IS A ANNUAL SUBSCRIPTI...	2/5/2025		$17,298
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE CALL ORDER PERFORMANCE ...	2/12/2025		$6,686,160
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE CCSDP IDIQ IS DESIGNED...	2/12/2025		$5,821,328
US AGENCY FOR INTERNATIONAL DEVELOPMENT	REQUEST FOR SOLE SOURCE AWA...	2/12/2025		$300,439
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID/UZBEKISTAN - DEIA FEL...	2/12/2025		$49,667
US AGENCY FOR INTERNATIONAL DEVELOPMENT	SUPPORT SERVICES TO USAID A...	2/12/2025		$20,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO PROCURE SERVICE TO CONDU...	2/12/2025		$100,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO PROCURE ONE LOCAL FIRM T...	2/12/2025		$20,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DEIA BUY-IN TO M MAPS (RESO...	2/12/2025		$11,214,930
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW CONTRACT RH USPSC DEIA ...	2/12/2025		$703,398
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO ORGANIZE TWO EVENTS TO S...	2/12/2025		$26,800
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO PURCHASE ORDER FOR A VEN...	2/12/2025		$53,438
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO HIRE A CONTRACTOR TO PRO...	2/12/2025		$53,400
US AGENCY FOR INTERNATIONAL DEVELOPMENT	EXO/GDPI TABLES& CABINETS	2/12/2025		$27,020
US AGENCY FOR INTERNATIONAL DEVELOPMENT	STRENGTHENING UTILITIES AND...	2/12/2025		$12,840,714
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS REQUISI...	2/12/2025		$21,349,558
US AGENCY FOR INTERNATIONAL DEVELOPMENT	VERSION 1: COMMITTED $1,50...	2/12/2025		$10,206,089
US AGENCY FOR INTERNATIONAL DEVELOPMENT	EO14042 THE LEARNING AND OR...	2/12/2025		$3,919,999
US AGENCY FOR INTERNATIONAL DEVELOPMENT	EPIC IDEAS	2/12/2025		$96,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	FINANCIAL MANAGEMENT CONTRA...	2/12/2025		$5,269,382
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DIGITAL STRATEGY IMPLEMENTA...	2/12/2025		$200,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF ADVANCING LE...	2/12/2025		$64,999,195
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO PROVIDE COACHING AND TRA...	2/12/2025		$305,675
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TASK ORDER (RFTOP) FOR CONT...	2/12/2025		$15,799,179
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW M/OAA CLOSEOUT CONTRACT...	2/12/2025		$9,986,678
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PROCUREMENT OF OVERSIGHT AU...	2/12/2025		$99,040
US AGENCY FOR INTERNATIONAL DEVELOPMENT	CONSTRUCTION MANAGEMENT AND...	2/12/2025		$249,484
US AGENCY FOR INTERNATIONAL DEVELOPMENT	ARCHITECT AND ENGINEERING S...	2/12/2025		$2,515,978
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE AUTHORIZED AGENT IS REQ...	2/12/2025		$4,896,947
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TASK ORDER UNDER 7 A&E MISS...	2/12/2025		$858,602
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS CONTRAC...	2/12/2025		$3,990,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO UTILIZE THE AIDRPA SYSTE...	2/12/2025		$4,499,174
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS REQUEST...	2/12/2025		$3,116,825
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS TASK OR...	2/12/2025		$16,263,496
US AGENCY FOR INTERNATIONAL DEVELOPMENT	IMPROVED WATER MANAGEMENT F...	2/12/2025		$8,910,606
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID SECURING GEORGIA'S EN...	2/12/2025		$20,214,040
